name,price,sku,link
,,,https://ziaulquran.com/product/quran-majeed-in-15-lines-without-translation/
,,,https://ziaulquran.com/product/16919/
,,,https://ziaulquran.com/product/quran-majeed-in-12-lines/
,"₨3,090.00",,https://ziaulquran.com/shop/page/13/?add-to-cart=9067
,"₨1,775.00",,https://ziaulquran.com/shop/page/13/?add-to-cart=9068
,"₨5,325.00",,https://ziaulquran.com/shop/page/13/?add-to-cart=9069
,"₨3,450.00",,https://ziaulquran.com/shop/page/13/?add-to-cart=9077
,"₨2,125.00",,https://ziaulquran.com/shop/page/13/?add-to-cart=9080
,"₨2,525.00",,https://ziaulquran.com/shop/page/13/?add-to-cart=9082
,"₨2,500.00",,https://ziaulquran.com/shop/page/13/?add-to-cart=9084
,"₨5,700.00",,https://ziaulquran.com/shop/page/13/?add-to-cart=9086
,"₨2,790.00",,https://ziaulquran.com/shop/page/13/?add-to-cart=9206
,"₨4,390.00",,https://ziaulquran.com/shop/page/13/?add-to-cart=9215
,₨90.00,,https://ziaulquran.com/shop/page/13/?add-to-cart=10689
,"₨1,150.00",,https://ziaulquran.com/shop/page/13/?add-to-cart=10691
,"₨1,550.00",,https://ziaulquran.com/shop/page/13/?add-to-cart=10693
,₨390.00,,https://ziaulquran.com/shop/page/13/?add-to-cart=10695
,"₨2,650.00",,https://ziaulquran.com/shop/page/13/?add-to-cart=10710
,₨90.00,,https://ziaulquran.com/shop/page/13/?add-to-cart=10697
,,,https://ziaulquran.com/product/quran-majeed-in-15-lines-without-translation/
,,,https://ziaulquran.com/product/16919/
,,,https://ziaulquran.com/product/quran-majeed-in-12-lines/
,"₨1,075.00",,https://ziaulquran.com/shop/page/14/?add-to-cart=9131
,"₨1,460.00",,https://ziaulquran.com/shop/page/14/?add-to-cart=9100
,"₨1,800.00",,https://ziaulquran.com/shop/page/14/?add-to-cart=9105
,"₨2,120.00",,https://ziaulquran.com/shop/page/14/?add-to-cart=9109
,"₨2,120.00",,https://ziaulquran.com/shop/page/14/?add-to-cart=9110
,"₨3,250.00",,https://ziaulquran.com/shop/page/14/?add-to-cart=9112
,"₨2,565.00",,https://ziaulquran.com/shop/page/14/?add-to-cart=9114
,"₨3,725.00",,https://ziaulquran.com/shop/page/14/?add-to-cart=9115
,"₨3,065.00",,https://ziaulquran.com/shop/page/14/?add-to-cart=9117
,"₨3,050.00",,https://ziaulquran.com/shop/page/14/?add-to-cart=9119
,"₨3,090.00",,https://ziaulquran.com/shop/page/14/?add-to-cart=9121
,"₨5,900.00",,https://ziaulquran.com/shop/page/14/?add-to-cart=9125
,"₨4,490.00",,https://ziaulquran.com/shop/page/14/?add-to-cart=9126
,"₨2,175.00",,https://ziaulquran.com/shop/page/14/?add-to-cart=9129
,"₨1,375.00",,https://ziaulquran.com/shop/page/14/?add-to-cart=9133
,"₨1,675.00",,https://ziaulquran.com/shop/page/14/?add-to-cart=9135
,,,https://ziaulquran.com/product/quran-majeed-in-15-lines-without-translation/
,,,https://ziaulquran.com/product/16919/
,,,https://ziaulquran.com/product/quran-majeed-in-12-lines/
,"₨1,100.00",,https://ziaulquran.com/shop/page/15/?add-to-cart=10700
,"₨1,400.00",,https://ziaulquran.com/shop/page/15/?add-to-cart=10702
,₨950.00,,https://ziaulquran.com/shop/page/15/?add-to-cart=10704
,₨90.00,,https://ziaulquran.com/shop/page/15/?add-to-cart=10706
,₨460.00,,https://ziaulquran.com/shop/page/15/?add-to-cart=10708
,₨330.00,,https://ziaulquran.com/shop/page/15/?add-to-cart=10712
,₨55.00,,https://ziaulquran.com/shop/page/15/?add-to-cart=10714
,₨30.00,,https://ziaulquran.com/shop/page/15/?add-to-cart=10715
,₨490.00,,https://ziaulquran.com/shop/page/15/?add-to-cart=10718
,₨450.00,,https://ziaulquran.com/shop/page/15/?add-to-cart=10720
,"₨1,150.00",,https://ziaulquran.com/shop/page/15/?add-to-cart=11865
,"₨1,075.00",,https://ziaulquran.com/shop/page/15/?add-to-cart=11866
,₨180.00,,https://ziaulquran.com/shop/page/15/?add-to-cart=10726
,"₨4,200.00",,https://ziaulquran.com/shop/page/15/?add-to-cart=10728
,₨340.00,,https://ziaulquran.com/shop/page/15/?add-to-cart=10730
,₨500.00,,https://ziaulquran.com/shop/page/15/?add-to-cart=10732
,,,https://ziaulquran.com/product/quran-majeed-in-15-lines-without-translation/
,,,https://ziaulquran.com/product/16919/
,,,https://ziaulquran.com/product/quran-majeed-in-12-lines/
,₨700.00,,https://ziaulquran.com/shop/page/16/?add-to-cart=9282
,₨900.00,,https://ziaulquran.com/shop/page/16/?add-to-cart=9284
,"₨1,200.00",,https://ziaulquran.com/shop/page/16/?add-to-cart=9285
,₨350.00,,https://ziaulquran.com/shop/page/16/?add-to-cart=10734
,₨675.00,,https://ziaulquran.com/shop/page/16/?add-to-cart=9269
,₨700.00,,https://ziaulquran.com/shop/page/16/?add-to-cart=9277
,"₨1,190.00",,https://ziaulquran.com/shop/page/16/?add-to-cart=9279
,₨625.00,,https://ziaulquran.com/shop/page/16/?add-to-cart=9264
,₨200.00,,https://ziaulquran.com/shop/page/16/?add-to-cart=10736
,₨210.00,,https://ziaulquran.com/shop/page/16/?add-to-cart=10738
,₨380.00,,https://ziaulquran.com/shop/page/16/?add-to-cart=10740
,₨75.00,,https://ziaulquran.com/shop/page/16/?add-to-cart=9372
,"₨1,950.00",,https://ziaulquran.com/shop/page/16/?add-to-cart=10742
,₨180.00,,https://ziaulquran.com/shop/page/16/?add-to-cart=10778
,₨600.00,,https://ziaulquran.com/shop/page/16/?add-to-cart=11867
,"₨2,800.00",,https://ziaulquran.com/shop/page/16/?add-to-cart=10744
,,,https://ziaulquran.com/product/quran-majeed-in-15-lines-without-translation/
,,,https://ziaulquran.com/product/16919/
,,,https://ziaulquran.com/product/quran-majeed-in-12-lines/
,₨280.00,,https://ziaulquran.com/shop/page/17/?add-to-cart=11124
,₨320.00,,https://ziaulquran.com/shop/page/17/?add-to-cart=11125
,₨80.00,,https://ziaulquran.com/shop/page/17/?add-to-cart=10747
,₨80.00,,https://ziaulquran.com/shop/page/17/?add-to-cart=10749
,₨100.00,,https://ziaulquran.com/shop/page/17/?add-to-cart=10751
,₨140.00,,https://ziaulquran.com/shop/page/17/?add-to-cart=11868
,₨50.00,,https://ziaulquran.com/shop/page/17/?add-to-cart=10753
,₨160.00,,https://ziaulquran.com/shop/page/17/?add-to-cart=10755
,₨65.00,,https://ziaulquran.com/shop/page/17/?add-to-cart=10757
,₨185.00,,https://ziaulquran.com/shop/page/17/?add-to-cart=10758
,₨160.00,,https://ziaulquran.com/shop/page/17/?add-to-cart=10761
,"₨4,500.00",,https://ziaulquran.com/shop/page/17/?add-to-cart=10764
,₨140.00,,https://ziaulquran.com/shop/page/17/?add-to-cart=10765
,₨500.00,,https://ziaulquran.com/shop/page/17/?add-to-cart=10766
,"₨3,000.00",,https://ziaulquran.com/shop/page/17/?add-to-cart=10768
,₨500.00,,https://ziaulquran.com/shop/page/17/?add-to-cart=11869
,,,https://ziaulquran.com/product/quran-majeed-in-15-lines-without-translation/
,,,https://ziaulquran.com/product/16919/
,,,https://ziaulquran.com/product/quran-majeed-in-12-lines/
,"₨1,380.00",,https://ziaulquran.com/shop/page/18/?add-to-cart=10772
,₨175.00,,https://ziaulquran.com/shop/page/18/?add-to-cart=10773
,"₨2,500.00",,https://ziaulquran.com/shop/page/18/?add-to-cart=10775
,₨610.00,,https://ziaulquran.com/shop/page/18/?add-to-cart=10780
,₨280.00,,https://ziaulquran.com/shop/page/18/?add-to-cart=10782
,₨370.00,,https://ziaulquran.com/shop/page/18/?add-to-cart=10784
,₨370.00,,https://ziaulquran.com/shop/page/18/?add-to-cart=10786
,₨500.00,,https://ziaulquran.com/shop/page/18/?add-to-cart=10788
,₨140.00,,https://ziaulquran.com/shop/page/18/?add-to-cart=10790
,"₨1,200.00",,https://ziaulquran.com/shop/page/18/?add-to-cart=11870
,₨100.00,,https://ziaulquran.com/shop/page/18/?add-to-cart=10792
,"₨2,945.00",,https://ziaulquran.com/shop/page/18/?add-to-cart=10793
,"₨3,125.00",,https://ziaulquran.com/shop/page/18/?add-to-cart=10794
,"₨2,945.00",,https://ziaulquran.com/shop/page/18/?add-to-cart=10795
,"₨2,990.00",,https://ziaulquran.com/shop/page/18/?add-to-cart=10796
,"₨3,075.00",,https://ziaulquran.com/shop/page/18/?add-to-cart=10797
,,,https://ziaulquran.com/product/quran-majeed-in-15-lines-without-translation/
,,,https://ziaulquran.com/product/16919/
,,,https://ziaulquran.com/product/quran-majeed-in-12-lines/
,"₨3,375.00",,https://ziaulquran.com/shop/page/19/?add-to-cart=10798
,"₨3,250.00",,https://ziaulquran.com/shop/page/19/?add-to-cart=10799
,"₨3,400.00",,https://ziaulquran.com/shop/page/19/?add-to-cart=10801
,"₨2,950.00",,https://ziaulquran.com/shop/page/19/?add-to-cart=10802
,₨28.00,,https://ziaulquran.com/shop/page/19/?add-to-cart=9384
,₨24.00,,https://ziaulquran.com/shop/page/19/?add-to-cart=9386
,₨90.00,,https://ziaulquran.com/shop/page/19/?add-to-cart=10805
,"₨1,400.00",,https://ziaulquran.com/shop/page/19/?add-to-cart=10807
,₨65.00,,https://ziaulquran.com/shop/page/19/?add-to-cart=9382
,₨110.00,,https://ziaulquran.com/shop/page/19/?add-to-cart=9388
,₨350.00,,https://ziaulquran.com/shop/page/19/?add-to-cart=10809
,"₨1,100.00",,https://ziaulquran.com/shop/page/19/?add-to-cart=10811
,₨350.00,,https://ziaulquran.com/shop/page/19/?add-to-cart=10815
,₨500.00,,https://ziaulquran.com/shop/page/19/?add-to-cart=10813
,₨220.00,,https://ziaulquran.com/shop/page/19/?add-to-cart=10817
,₨180.00,,https://ziaulquran.com/shop/page/19/?add-to-cart=10819
,,,https://ziaulquran.com/product/quran-majeed-in-15-lines-without-translation/
